	com1	com2	com3	com4	com5	com6	com7	com8	com9	com10
com1	0.0	0.8333333333333333	0.6000000000000001	0.8	0.8333333333333333	0.5	0.6000000000000001	0.6666666666666667	0.7142857142857144	0.8571428571428572
com2	0.8333333333333333	0.0	0.8	1.0	0.5	0.6666666666666667	0.8	0.6000000000000001	0.8571428571428572	0.8333333333333333
com3	0.6000000000000001	0.8	0.0	0.75	1.0	0.6666666666666667	0.8	0.6000000000000001	0.8571428571428572	0.8333333333333333
com4	0.8	1.0	0.75	0.0	0.75	1.0	0.75	1.0	0.6000000000000001	0.8
com5	0.8333333333333333	0.5	1.0	0.75	0.0	0.8571428571428572	0.8	0.8333333333333333	0.6666666666666667	0.8333333333333333
com6	0.5	0.6666666666666667	0.6666666666666667	1.0	0.8571428571428572	0.0	0.8571428571428572	0.20000000000000018	0.75	0.5
com7	0.6000000000000001	0.8	0.8	0.75	0.8	0.8571428571428572	0.0	1.0	0.3999999999999999	0.8333333333333333
com8	0.6666666666666667	0.6000000000000001	0.6000000000000001	1.0	0.8333333333333333	0.20000000000000018	1.0	0.0	0.875	0.6666666666666667
com9	0.7142857142857144	0.8571428571428572	0.8571428571428572	0.6000000000000001	0.6666666666666667	0.75	0.3999999999999999	0.875	0.0	0.5
com10	0.8571428571428572	0.8333333333333333	0.8333333333333333	0.8	0.8333333333333333	0.5	0.8333333333333333	0.6666666666666667	0.5	0.0
