	com1	com2	com3	com4	com5	com6	com7	com8	com9	com10
com1	0.0	0.10204081632653061	0.061224489795918435	0.09523809523809523	0.10204081632653061	0.04761904761904756	0.061224489795918435	0.0714285714285714	0.0793650793650793	0.1071428571428571
com2	0.10204081632653061	0.0	0.09523809523809523	0.1428571428571429	0.04761904761904756	0.0714285714285714	0.09523809523809523	0.061224489795918435	0.1071428571428571	0.10204081632653061
com3	0.061224489795918435	0.09523809523809523	0.0	0.08571428571428563	0.1428571428571429	0.0714285714285714	0.09523809523809523	0.061224489795918435	0.1071428571428571	0.10204081632653061
com4	0.09523809523809523	0.1428571428571429	0.08571428571428563	0.0	0.08571428571428563	0.1428571428571429	0.08571428571428563	0.1428571428571429	0.061224489795918435	0.09523809523809523
com5	0.10204081632653061	0.04761904761904756	0.1428571428571429	0.08571428571428563	0.0	0.1071428571428571	0.09523809523809523	0.10204081632653061	0.0714285714285714	0.10204081632653061
com6	0.04761904761904756	0.0714285714285714	0.0714285714285714	0.1428571428571429	0.1071428571428571	0.0	0.1071428571428571	0.015873015873015817	0.08571428571428563	0.04761904761904756
com7	0.061224489795918435	0.09523809523809523	0.09523809523809523	0.08571428571428563	0.09523809523809523	0.1071428571428571	0.0	0.1428571428571429	0.0357142857142857	0.10204081632653061
com8	0.0714285714285714	0.061224489795918435	0.061224489795918435	0.1428571428571429	0.10204081632653061	0.015873015873015817	0.1428571428571429	0.0	0.11111111111111105	0.0714285714285714
com9	0.0793650793650793	0.1071428571428571	0.1071428571428571	0.061224489795918435	0.0714285714285714	0.08571428571428563	0.0357142857142857	0.11111111111111105	0.0	0.04761904761904756
com10	0.1071428571428571	0.10204081632653061	0.10204081632653061	0.09523809523809523	0.10204081632653061	0.04761904761904756	0.10204081632653061	0.0714285714285714	0.04761904761904756	0.0
