	com1	com2	com3	com4	com5	com6	com7	com8	com9	com10
com1	0.0	0.7142857142857142	0.4285714285714286	0.6666666666666667	0.7142857142857142	0.33333333333333326	0.4285714285714286	0.5	0.5555555555555558	0.75
com2	0.7142857142857142	0.0	0.6666666666666667	1.0	0.33333333333333326	0.5	0.6666666666666667	0.4285714285714286	0.75	0.7142857142857142
com3	0.4285714285714286	0.6666666666666667	0.0	0.6000000000000001	1.0	0.5	0.6666666666666667	0.4285714285714286	0.75	0.7142857142857142
com4	0.6666666666666667	1.0	0.6000000000000001	0.0	0.6000000000000001	1.0	0.6000000000000001	1.0	0.4285714285714286	0.6666666666666667
com5	0.7142857142857142	0.33333333333333326	1.0	0.6000000000000001	0.0	0.75	0.6666666666666667	0.7142857142857142	0.5	0.7142857142857142
com6	0.33333333333333326	0.5	0.5	1.0	0.75	0.0	0.75	0.11111111111111116	0.6000000000000001	0.33333333333333326
com7	0.4285714285714286	0.6666666666666667	0.6666666666666667	0.6000000000000001	0.6666666666666667	0.75	0.0	1.0	0.25	0.7142857142857142
com8	0.5	0.4285714285714286	0.4285714285714286	1.0	0.7142857142857142	0.11111111111111116	1.0	0.0	0.7777777777777777	0.5
com9	0.5555555555555558	0.75	0.75	0.4285714285714286	0.5	0.6000000000000001	0.25	0.7777777777777777	0.0	0.33333333333333326
com10	0.75	0.7142857142857142	0.7142857142857142	0.6666666666666667	0.7142857142857142	0.33333333333333326	0.7142857142857142	0.5	0.33333333333333326	0.0
